NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.31883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.29233,-0.2938,-0.29522,-0.29658,-0.2979,-0.29917,-0.3004,-0.30157,-0.30269,-0.30377,-0.3048,-0.30578,-0.30671,-0.30759,-0.30843,-0.30922,-0.30997,-0.31067,-0.31133,-0.31194,-0.31251,-0.31303,-0.31352,-0.31396,-0.31437,-0.31474,-0.31507,-0.31536,-0.31562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.27253,-0.27428,-0.27598,-0.27763,-0.27924,-0.28079,-0.28229,-0.28374,-0.28514,-0.2865,-0.2878,-0.28905,-0.29025,-0.2914,-0.2925,-0.29356,-0.29456,-0.29551,-0.29641,-0.29727,-0.29808,-0.29883,-0.29954,-0.30021,-0.30083,-0.3014,-0.30193,-0.30241,-0.30285,-0.30325,-0.30361,-0.30392,-0.3042,-0.30444,-0.30465,-0.30482,-0.30496,-0.30506,-0.30514,-0.30519,-0.30522,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.25314,-0.25513,-0.25707,-0.25896,-0.2608,-0.2626,-0.26434,-0.26603,-0.26767,-0.26926,-0.2708,-0.27229,-0.27373,-0.27511,-0.27645,-0.27773,-0.27896,-0.28015,-0.28128,-0.28235,-0.28338,-0.28436,-0.28528,-0.28616,-0.28699,-0.28776,-0.28849,-0.28916,-0.28979,-0.29037,-0.2909,-0.29139,-0.29183,-0.29223,-0.29258,-0.29289,-0.29316,-0.29339,-0.29358,-0.29373,-0.29385,-0.29393,-0.29398,-0.294,-0.29399,-0.29395,-0.29388,-0.2938,-0.29369,-0.29356,-0.29342,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.23706,-0.23919,-0.24127,-0.2433,-0.24528,-0.24721,-0.2491,-0.25093,-0.25271,-0.25444,-0.25612,-0.25775,-0.25933,-0.26086,-0.26233,-0.26375,-0.26513,-0.26644,-0.26771,-0.26892,-0.27009,-0.2712,-0.27225,-0.27326,-0.27421,-0.27511,-0.27595,-0.27675,-0.2775,-0.27819,-0.27883,-0.27943,-0.27997,-0.28046,-0.28091,-0.28131,-0.28167,-0.28197,-0.28224,-0.28246,-0.28264,-0.28278,-0.28288,-0.28294,-0.28297,-0.28296,-0.28292,-0.28285,-0.28275,-0.28262,-0.28247,-0.2823,-0.28211,-0.2819,-0.28167,-0.28143,-0.28119,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.21833,-0.22065,-0.22291,-0.22513,-0.2273,-0.22942,-0.23149,-0.23351,-0.23549,-0.23741,-0.23928,-0.2411,-0.24288,-0.2446,-0.24627,-0.24789,-0.24945,-0.25097,-0.25243,-0.25384,-0.25519,-0.25649,-0.25774,-0.25894,-0.26008,-0.26117,-0.2622,-0.26318,-0.26411,-0.26498,-0.26581,-0.26657,-0.26729,-0.26795,-0.26856,-0.26912,-0.26963,-0.27008,-0.27049,-0.27085,-0.27116,-0.27143,-0.27165,-0.27182,-0.27196,-0.27205,-0.2721,-0.27211,-0.27208,-0.27202,-0.27192,-0.27179,-0.27163,-0.27144,-0.27123,-0.27099,-0.27074,-0.27046,-0.27017,-0.26986,-0.26955,-0.26922,-0.2689,-0.26857,-0.26824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.20148,-0.20393,-0.20632,-0.20867,-0.21098,-0.21323,-0.21544,-0.2176,-0.21971,-0.22177,-0.22379,-0.22575,-0.22767,-0.22953,-0.23134,-0.23311,-0.23482,-0.23648,-0.23808,-0.23964,-0.24114,-0.24258,-0.24398,-0.24532,-0.2466,-0.24784,-0.24901,-0.25014,-0.2512,-0.25222,-0.25317,-0.25408,-0.25492,-0.25572,-0.25646,-0.25714,-0.25777,-0.25835,-0.25888,-0.25935,-0.25977,-0.26014,-0.26046,-0.26073,-0.26096,-0.26113,-0.26126,-0.26135,-0.26139,-0.26139,-0.26135,-0.26127,-0.26115,-0.261,-0.26081,-0.2606,-0.26035,-0.26008,-0.25978,-0.25946,-0.25912,-0.25876,-0.25839,-0.25801,-0.25762,-0.25722,-0.25682,-0.25642,-0.25602,-0.25564,-0.25526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.18692,-0.18945,-0.19193,-0.19436,-0.19674,-0.19908,-0.20138,-0.20362,-0.20582,-0.20797,-0.21007,-0.21213,-0.21413,-0.21609,-0.21799,-0.21985,-0.22165,-0.2234,-0.2251,-0.22675,-0.22834,-0.22989,-0.23137,-0.23281,-0.23419,-0.23551,-0.23678,-0.238,-0.23915,-0.24026,-0.24131,-0.2423,-0.24323,-0.24411,-0.24493,-0.2457,-0.24641,-0.24707,-0.24767,-0.24822,-0.24871,-0.24915,-0.24953,-0.24987,-0.25015,-0.25038,-0.25056,-0.25069,-0.25078,-0.25082,-0.25081,-0.25076,-0.25067,-0.25054,-0.25037,-0.25017,-0.24993,-0.24965,-0.24935,-0.24902,-0.24866,-0.24828,-0.24788,-0.24746,-0.24702,-0.24657,-0.24612,-0.24565,-0.24518,-0.24472,-0.24425,-0.24379,-0.24334,-0.24291,-0.24249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.16968,-0.17232,-0.17492,-0.17748,-0.17999,-0.18245,-0.18487,-0.18725,-0.18957,-0.19186,-0.19409,-0.19628,-0.19842,-0.20051,-0.20256,-0.20455,-0.2065,-0.20839,-0.21024,-0.21203,-0.21377,-0.21546,-0.2171,-0.21868,-0.22021,-0.22169,-0.22311,-0.22447,-0.22578,-0.22703,-0.22823,-0.22937,-0.23045,-0.23148,-0.23245,-0.23336,-0.23422,-0.23502,-0.23576,-0.23644,-0.23707,-0.23764,-0.23816,-0.23862,-0.23902,-0.23937,-0.23967,-0.23992,-0.24011,-0.24025,-0.24034,-0.24038,-0.24038,-0.24033,-0.24023,-0.24009,-0.23991,-0.23969,-0.23943,-0.23914,-0.23881,-0.23845,-0.23806,-0.23765,-0.23721,-0.23674,-0.23626,-0.23576,-0.23525,-0.23473,-0.2342,-0.23366,-0.23313,-0.2326,-0.23207,-0.23155,-0.23105,-0.23056,-0.23009,-0.22965,-0.22924,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.15499,-0.1577,-0.16037,-0.16299,-0.16558,-0.16812,-0.17061,-0.17306,-0.17547,-0.17783,-0.18015,-0.18242,-0.18465,-0.18682,-0.18896,-0.19104,-0.19307,-0.19506,-0.19699,-0.19888,-0.20071,-0.2025,-0.20423,-0.2059,-0.20753,-0.2091,-0.21062,-0.21208,-0.21348,-0.21483,-0.21613,-0.21736,-0.21854,-0.21967,-0.22073,-0.22174,-0.22269,-0.22358,-0.22441,-0.22519,-0.2259,-0.22656,-0.22716,-0.2277,-0.22819,-0.22862,-0.22899,-0.2293,-0.22957,-0.22977,-0.22993,-0.23003,-0.23008,-0.23008,-0.23003,-0.22994,-0.22979,-0.22961,-0.22938,-0.22911,-0.2288,-0.22845,-0.22807,-0.22766,-0.22721,-0.22674,-0.22624,-0.22572,-0.22518,-0.22462,-0.22404,-0.22346,-0.22287,-0.22227,-0.22167,-0.22107,-0.22048,-0.21989,-0.21932,-0.21877,-0.21823,-0.21772,-0.21724,-0.21679,-0.21638,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
