NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.42011,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44462,0.4406,0.43668,0.43285,0.42912,0.42548,0.42194,0.41849,0.41514,0.4119,0.40875,0.4057,0.40276,0.39992,0.39719,0.39456,0.39204,0.38964,0.38735,0.38517,0.38311,0.38117,0.37935,0.37765,0.37608,0.37464,0.37333,0.37215,0.3711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44786,0.44329,0.43881,0.43444,0.43015,0.42596,0.42186,0.41786,0.41395,0.41013,0.40641,0.40279,0.39926,0.39583,0.3925,0.38927,0.38614,0.38311,0.38018,0.37736,0.37464,0.37204,0.36954,0.36715,0.36488,0.36272,0.36068,0.35876,0.35696,0.35529,0.35374,0.35232,0.35103,0.34987,0.34885,0.34797,0.34723,0.34663,0.34618,0.34588,0.34573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4496,0.44457,0.43963,0.43479,0.43004,0.42539,0.42084,0.41638,0.41201,0.40774,0.40356,0.39948,0.39549,0.39159,0.38779,0.38409,0.38048,0.37697,0.37356,0.37024,0.36703,0.36391,0.3609,0.35799,0.35519,0.35249,0.3499,0.34742,0.34506,0.3428,0.34067,0.33864,0.33674,0.33497,0.33331,0.33178,0.33038,0.32912,0.32798,0.32699,0.32613,0.32541,0.32484,0.32441,0.32413,0.324,0.32403,0.32422,0.32456,0.32507,0.32574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44311,0.43779,0.43256,0.42744,0.42242,0.41749,0.41266,0.40793,0.4033,0.39876,0.39431,0.38996,0.3857,0.38154,0.37747,0.3735,0.36962,0.36584,0.36215,0.35856,0.35507,0.35167,0.34837,0.34518,0.34208,0.33909,0.3362,0.33341,0.33073,0.32816,0.32571,0.32336,0.32112,0.31901,0.31701,0.31513,0.31337,0.31173,0.31023,0.30885,0.3076,0.30649,0.30551,0.30468,0.30398,0.30343,0.30303,0.30277,0.30267,0.30272,0.30293,0.30329,0.30383,0.30452,0.30539,0.30642,0.30763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.44355,0.43782,0.43219,0.42668,0.42126,0.41595,0.41075,0.40564,0.40063,0.39572,0.39091,0.38619,0.38158,0.37705,0.37262,0.36829,0.36405,0.35991,0.35586,0.3519,0.34804,0.34428,0.34061,0.33703,0.33356,0.33018,0.3269,0.32373,0.32065,0.31767,0.3148,0.31204,0.30938,0.30683,0.30439,0.30206,0.29985,0.29775,0.29577,0.29391,0.29217,0.29056,0.28907,0.28771,0.28649,0.2854,0.28444,0.28363,0.28295,0.28242,0.28204,0.2818,0.28172,0.28179,0.28203,0.28242,0.28297,0.28369,0.28457,0.28563,0.28686,0.28826,0.28985,0.29161,0.29356,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4398,0.43375,0.42781,0.42199,0.41628,0.41067,0.40517,0.39978,0.39448,0.38929,0.38421,0.37922,0.37432,0.36953,0.36484,0.36023,0.35573,0.35132,0.34701,0.34279,0.33866,0.33463,0.3307,0.32685,0.32311,0.31946,0.31591,0.31245,0.30909,0.30584,0.30268,0.29962,0.29667,0.29381,0.29107,0.28843,0.2859,0.28348,0.28117,0.27898,0.2769,0.27494,0.2731,0.27138,0.26979,0.26833,0.26699,0.26578,0.26471,0.26378,0.26298,0.26233,0.26182,0.26145,0.26124,0.26118,0.26127,0.26152,0.26193,0.26251,0.26324,0.26415,0.26523,0.26648,0.2679,0.26951,0.27129,0.27326,0.27541,0.27775,0.28029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.43095,0.42468,0.41854,0.41251,0.40659,0.40079,0.39509,0.38951,0.38403,0.37865,0.37338,0.36821,0.36315,0.35818,0.35331,0.34853,0.34386,0.33928,0.3348,0.33041,0.32611,0.32192,0.31781,0.3138,0.30989,0.30607,0.30234,0.29872,0.29518,0.29175,0.28841,0.28518,0.28204,0.279,0.27607,0.27324,0.27051,0.2679,0.26539,0.26299,0.2607,0.25853,0.25647,0.25453,0.25271,0.25101,0.24944,0.24799,0.24668,0.24549,0.24444,0.24352,0.24275,0.24211,0.24162,0.24128,0.24108,0.24104,0.24115,0.24142,0.24185,0.24244,0.2432,0.24412,0.24522,0.24649,0.24793,0.24956,0.25136,0.25335,0.25552,0.25788,0.26043,0.26317,0.2661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.42945,0.42284,0.41635,0.40999,0.40375,0.39763,0.39162,0.38573,0.37995,0.37427,0.36871,0.36325,0.3579,0.35265,0.34751,0.34246,0.33752,0.33267,0.32792,0.32327,0.31871,0.31425,0.30989,0.30562,0.30144,0.29736,0.29338,0.28948,0.28569,0.28199,0.27838,0.27487,0.27146,0.26815,0.26493,0.26182,0.2588,0.25589,0.25308,0.25038,0.24778,0.2453,0.24292,0.24065,0.2385,0.23646,0.23454,0.23274,0.23107,0.22951,0.22809,0.22679,0.22562,0.22459,0.22369,0.22293,0.22232,0.22184,0.22152,0.22134,0.22132,0.22144,0.22173,0.22218,0.22279,0.22356,0.2245,0.22561,0.2269,0.22836,0.23,0.23182,0.23382,0.23601,0.23838,0.24095,0.24371,0.24666,0.24981,0.25316,0.2567,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.42232,0.41547,0.40876,0.40218,0.39572,0.38938,0.38317,0.37707,0.37109,0.36522,0.35947,0.35382,0.34828,0.34285,0.33753,0.3323,0.32718,0.32216,0.31724,0.31242,0.3077,0.30307,0.29854,0.29411,0.28977,0.28552,0.28137,0.27732,0.27336,0.26949,0.26572,0.26204,0.25846,0.25498,0.25159,0.2483,0.24511,0.24202,0.23902,0.23614,0.23335,0.23067,0.2281,0.22563,0.22327,0.22103,0.2189,0.21688,0.21498,0.2132,0.21155,0.21001,0.2086,0.20732,0.20618,0.20516,0.20428,0.20354,0.20294,0.20249,0.20218,0.20202,0.20201,0.20216,0.20246,0.20292,0.20354,0.20433,0.20529,0.20642,0.20772,0.20919,0.21084,0.21268,0.21469,0.2169,0.21928,0.22186,0.22463,0.2276,0.23076,0.23412,0.23768,0.24144,0.24541,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
