NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.040899,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.07659,0.072371,0.068269,0.064285,0.060426,0.056695,0.053097,0.049635,0.046314,0.043139,0.040113,0.037242,0.034529,0.031979,0.029597,0.027386,0.02535,0.023494,0.021823,0.020339,0.019048,0.017953,0.017059,0.016368,0.015886,0.015615,0.015559,0.015723,0.016109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.094272,0.089422,0.084662,0.079996,0.075426,0.070959,0.066596,0.062343,0.058204,0.054182,0.050283,0.046509,0.042867,0.039359,0.03599,0.032765,0.029688,0.026763,0.023995,0.021387,0.018945,0.016673,0.014574,0.012653,0.010915,0.0093625,0.0080005,0.0068329,0.0058637,0.0050966,0.0045356,0.0041844,0.0040466,0.0041259,0.0044259,0.0049499,0.0057014,0.0066836,0.0078998,0.0093532,0.011047,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11058,0.10533,0.10014,0.095028,0.089992,0.085037,0.080166,0.075383,0.070691,0.066095,0.061599,0.057206,0.05292,0.048746,0.044688,0.04075,0.036936,0.033251,0.029699,0.026284,0.023011,0.019884,0.016907,0.014085,0.011422,0.0089219,0.0065898,0.0044295,0.0024452,0.00064123,-0.00097844,-0.0024097,-0.0036485,-0.004691,-0.0055332,-0.0061713,-0.0066015,-0.0068202,-0.0068237,-0.0066086,-0.0061713,-0.0055084,-0.0046167,-0.0034929,-0.0021339,-0.00053664,0.0013019,0.0033846,0.0057143,0.0082937,0.011126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.11816,0.11271,0.10731,0.10198,0.096715,0.091517,0.086391,0.081341,0.076369,0.071479,0.066675,0.061961,0.05734,0.052817,0.048395,0.044079,0.039872,0.035779,0.031805,0.027953,0.024227,0.020633,0.017173,0.013854,0.010679,0.0076516,0.0047774,0.0020602,-0.00049561,-0.0028858,-0.0051061,-0.0071523,-0.0090202,-0.010706,-0.012205,-0.013514,-0.014628,-0.015544,-0.016257,-0.016765,-0.017064,-0.017149,-0.017017,-0.016665,-0.016089,-0.015287,-0.014254,-0.012988,-0.011486,-0.0097445,-0.0077606,-0.0055316,-0.0030547,-0.00032722,0.0026534,0.0058897,0.0093842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.13244,0.12678,0.12117,0.11561,0.1101,0.10464,0.099247,0.09391,0.088638,0.083432,0.078295,0.073232,0.068246,0.063339,0.058517,0.053782,0.049138,0.044591,0.040142,0.035797,0.03156,0.027435,0.023426,0.019537,0.015773,0.012138,0.0086364,0.0052725,0.0020506,-0.0010249,-0.0039496,-0.0067192,-0.0093294,-0.011776,-0.014055,-0.016161,-0.018092,-0.019842,-0.021407,-0.022784,-0.023969,-0.024957,-0.025745,-0.026329,-0.026706,-0.026871,-0.026822,-0.026554,-0.026064,-0.02535,-0.024407,-0.023233,-0.021825,-0.020179,-0.018292,-0.016163,-0.013787,-0.011163,-0.008287,-0.0051576,-0.0017718,0.0018727,0.0057784,0.0099474,0.014382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14206,0.13628,0.13055,0.12485,0.1192,0.1136,0.10804,0.10254,0.097086,0.09169,0.086352,0.081075,0.075863,0.070718,0.065645,0.060646,0.055725,0.050886,0.046133,0.041469,0.036899,0.032426,0.028054,0.023789,0.019633,0.015591,0.011668,0.007867,0.0041934,0.00065106,-0.0027556,-0.0060221,-0.0091443,-0.012118,-0.014938,-0.017601,-0.020103,-0.022438,-0.024604,-0.026595,-0.028408,-0.030038,-0.031482,-0.032736,-0.033795,-0.034656,-0.035315,-0.035769,-0.036013,-0.036045,-0.03586,-0.035455,-0.034827,-0.033973,-0.03289,-0.031574,-0.030022,-0.028232,-0.026201,-0.023925,-0.021403,-0.018631,-0.015608,-0.012329,-0.0087941,-0.0049995,-0.00094338,0.0033767,0.0079628,0.012817,0.017942,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.14652,0.14069,0.13489,0.12913,0.12341,0.11774,0.1121,0.10651,0.10096,0.095462,0.090015,0.084621,0.079283,0.074005,0.068789,0.063638,0.058557,0.053548,0.048615,0.043762,0.038992,0.03431,0.02972,0.025224,0.020828,0.016536,0.012352,0.0082793,0.0043232,0.0004878,-0.0032227,-0.0068039,-0.010251,-0.013561,-0.016728,-0.019749,-0.022618,-0.025333,-0.027887,-0.030278,-0.032501,-0.034552,-0.036426,-0.03812,-0.03963,-0.040951,-0.04208,-0.043013,-0.043745,-0.044275,-0.044597,-0.044708,-0.044604,-0.044283,-0.043741,-0.042975,-0.041981,-0.040756,-0.039298,-0.037603,-0.035669,-0.033492,-0.031071,-0.028402,-0.025483,-0.022311,-0.018884,-0.015199,-0.011254,-0.0070479,-0.002577,0.0021604,0.0071665,0.012443,0.017993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.15734,0.15144,0.14557,0.13973,0.13393,0.12816,0.12243,0.11673,0.11107,0.10545,0.099872,0.094337,0.088848,0.083408,0.078019,0.072684,0.067406,0.062189,0.057035,0.051948,0.046931,0.041988,0.037123,0.03234,0.027641,0.023032,0.018517,0.014098,0.0097816,0.0055706,0.0014695,-0.0025173,-0.0063856,-0.010131,-0.013749,-0.017236,-0.020587,-0.023798,-0.026864,-0.029781,-0.032545,-0.035151,-0.037596,-0.039875,-0.041983,-0.043918,-0.045674,-0.047248,-0.048635,-0.049832,-0.050835,-0.051641,-0.052244,-0.052643,-0.052832,-0.052809,-0.052571,-0.052113,-0.051433,-0.050528,-0.049393,-0.048027,-0.046427,-0.044588,-0.04251,-0.040188,-0.03762,-0.034804,-0.031738,-0.028418,-0.024842,-0.021008,-0.016914,-0.012557,-0.0079352,-0.0030466,0.002111,0.0075398,0.013242,0.019219,0.025474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.16268,0.15676,0.15087,0.14501,0.13918,0.13337,0.1276,0.12186,0.11615,0.11048,0.10484,0.099235,0.093673,0.088152,0.082675,0.077244,0.071863,0.066533,0.061259,0.056042,0.050887,0.045797,0.040775,0.035824,0.03095,0.026154,0.021442,0.016817,0.012283,0.0078441,0.0035048,-0.00073088,-0.0048587,-0.0088745,-0.012774,-0.016552,-0.020206,-0.02373,-0.027121,-0.030373,-0.033483,-0.036446,-0.039258,-0.041915,-0.044412,-0.046745,-0.04891,-0.050903,-0.05272,-0.054357,-0.055809,-0.057073,-0.058146,-0.059022,-0.059699,-0.060172,-0.060439,-0.060496,-0.060339,-0.059964,-0.059369,-0.058551,-0.057506,-0.056231,-0.054723,-0.05298,-0.050998,-0.048775,-0.046308,-0.043595,-0.040632,-0.037418,-0.03395,-0.030225,-0.026242,-0.021999,-0.017492,-0.012719,-0.0076797,-0.0023705,0.0032102,0.0090645,0.015195,0.021602,0.02829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
