NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.45229,-0.45148,-0.45064,-0.44978,-0.44892,-0.44805,-0.44719,-0.44635,-0.44553,-0.44475,-0.44401,-0.44332,-0.4427,-0.44216,-0.44169,-0.44133,-0.44106,-0.44092,-0.4409,-0.44102,-0.44128,-0.44171,-0.4423,-0.44308,-0.44405,-0.44522,-0.4466,-0.44821,-0.45006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.43666,-0.43605,-0.43538,-0.43465,-0.43387,-0.43305,-0.4322,-0.43132,-0.43041,-0.4295,-0.42858,-0.42766,-0.42675,-0.42587,-0.42501,-0.42419,-0.42341,-0.4227,-0.42204,-0.42147,-0.42098,-0.42059,-0.4203,-0.42014,-0.42009,-0.42019,-0.42044,-0.42085,-0.42142,-0.42218,-0.42313,-0.42428,-0.42565,-0.42724,-0.42907,-0.43114,-0.43347,-0.43606,-0.43893,-0.44209,-0.44554,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.41956,-0.4192,-0.41876,-0.41824,-0.41766,-0.417,-0.41629,-0.41552,-0.41471,-0.41385,-0.41295,-0.41202,-0.41107,-0.4101,-0.40912,-0.40814,-0.40717,-0.40621,-0.40527,-0.40437,-0.4035,-0.40269,-0.40193,-0.40125,-0.40064,-0.40012,-0.39969,-0.39938,-0.39918,-0.39912,-0.39919,-0.39941,-0.39979,-0.40034,-0.40108,-0.402,-0.40313,-0.40447,-0.40604,-0.40784,-0.40989,-0.41218,-0.41475,-0.41759,-0.42071,-0.42413,-0.42785,-0.43189,-0.43624,-0.44093,-0.44595,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.40145,-0.40121,-0.40088,-0.40047,-0.39998,-0.39942,-0.39878,-0.39809,-0.39733,-0.39651,-0.39565,-0.39474,-0.39379,-0.39281,-0.3918,-0.39078,-0.38974,-0.38869,-0.38765,-0.38661,-0.3856,-0.38461,-0.38365,-0.38274,-0.38188,-0.38108,-0.38035,-0.37971,-0.37915,-0.37869,-0.37834,-0.37811,-0.37801,-0.37805,-0.37824,-0.37859,-0.37911,-0.37982,-0.38071,-0.38181,-0.38312,-0.38466,-0.38642,-0.38843,-0.3907,-0.39323,-0.39603,-0.39912,-0.4025,-0.40618,-0.41017,-0.41448,-0.41912,-0.42409,-0.42941,-0.43508,-0.44111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.38353,-0.38348,-0.38334,-0.38312,-0.38281,-0.38242,-0.38195,-0.38141,-0.38079,-0.3801,-0.37935,-0.37854,-0.37767,-0.37676,-0.37579,-0.37479,-0.37375,-0.37268,-0.37159,-0.37049,-0.36937,-0.36826,-0.36715,-0.36605,-0.36497,-0.36392,-0.36291,-0.36195,-0.36104,-0.36019,-0.35941,-0.35872,-0.35812,-0.35762,-0.35723,-0.35696,-0.35682,-0.35683,-0.35698,-0.35729,-0.35778,-0.35845,-0.35931,-0.36037,-0.36164,-0.36314,-0.36487,-0.36684,-0.36907,-0.37156,-0.37432,-0.37736,-0.38069,-0.38433,-0.38827,-0.39253,-0.39711,-0.40203,-0.40729,-0.4129,-0.41887,-0.4252,-0.4319,-0.43897,-0.44642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.36573,-0.36578,-0.36574,-0.3656,-0.36539,-0.36509,-0.36471,-0.36425,-0.36371,-0.3631,-0.36242,-0.36167,-0.36086,-0.35999,-0.35906,-0.35808,-0.35706,-0.35599,-0.35489,-0.35376,-0.3526,-0.35143,-0.35024,-0.34905,-0.34786,-0.34667,-0.34551,-0.34437,-0.34326,-0.34219,-0.34116,-0.3402,-0.3393,-0.33847,-0.33773,-0.33708,-0.33653,-0.3361,-0.33579,-0.3356,-0.33556,-0.33568,-0.33595,-0.33639,-0.33702,-0.33784,-0.33886,-0.34009,-0.34154,-0.34323,-0.34516,-0.34734,-0.34978,-0.35249,-0.35548,-0.35876,-0.36234,-0.36623,-0.37044,-0.37496,-0.37982,-0.38502,-0.39057,-0.39647,-0.40273,-0.40935,-0.41635,-0.42373,-0.43149,-0.43963,-0.44817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.34849,-0.34852,-0.34846,-0.34832,-0.34809,-0.34779,-0.3474,-0.34694,-0.3464,-0.34579,-0.3451,-0.34435,-0.34353,-0.34265,-0.34171,-0.34072,-0.33968,-0.33859,-0.33745,-0.33628,-0.33508,-0.33385,-0.33261,-0.33134,-0.33007,-0.3288,-0.32753,-0.32627,-0.32504,-0.32382,-0.32265,-0.32151,-0.32043,-0.31941,-0.31845,-0.31757,-0.31677,-0.31607,-0.31547,-0.31499,-0.31462,-0.3144,-0.31431,-0.31437,-0.3146,-0.31499,-0.31557,-0.31634,-0.31732,-0.3185,-0.31991,-0.32154,-0.32342,-0.32555,-0.32794,-0.3306,-0.33354,-0.33676,-0.34028,-0.34411,-0.34825,-0.35272,-0.35751,-0.36264,-0.36812,-0.37395,-0.38013,-0.38668,-0.3936,-0.4009,-0.40857,-0.41663,-0.42508,-0.43393,-0.44317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.33175,-0.33182,-0.33182,-0.33173,-0.33156,-0.33131,-0.33099,-0.33059,-0.33011,-0.32955,-0.32893,-0.32823,-0.32747,-0.32663,-0.32574,-0.32479,-0.32377,-0.32271,-0.32159,-0.32043,-0.31922,-0.31798,-0.31671,-0.3154,-0.31408,-0.31274,-0.31138,-0.31002,-0.30867,-0.30732,-0.30598,-0.30467,-0.30339,-0.30214,-0.30094,-0.29979,-0.2987,-0.29768,-0.29674,-0.29589,-0.29513,-0.29448,-0.29394,-0.29352,-0.29324,-0.2931,-0.29311,-0.29328,-0.29363,-0.29416,-0.29488,-0.2958,-0.29693,-0.29828,-0.29986,-0.30169,-0.30376,-0.30609,-0.30869,-0.31157,-0.31473,-0.31819,-0.32195,-0.32603,-0.33042,-0.33515,-0.3402,-0.34561,-0.35136,-0.35746,-0.36393,-0.37077,-0.37798,-0.38557,-0.39354,-0.4019,-0.41064,-0.41979,-0.42932,-0.43926,-0.4496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.31581,-0.31582,-0.31576,-0.31563,-0.31542,-0.31513,-0.31477,-0.31433,-0.31382,-0.31324,-0.31259,-0.31187,-0.31109,-0.31023,-0.30932,-0.30834,-0.3073,-0.30621,-0.30507,-0.30387,-0.30263,-0.30135,-0.30003,-0.29868,-0.29729,-0.29589,-0.29446,-0.29302,-0.29158,-0.29013,-0.28868,-0.28725,-0.28584,-0.28445,-0.28309,-0.28177,-0.28049,-0.27928,-0.27812,-0.27704,-0.27603,-0.27512,-0.2743,-0.27359,-0.27299,-0.27251,-0.27217,-0.27198,-0.27193,-0.27205,-0.27234,-0.27281,-0.27348,-0.27434,-0.27541,-0.27671,-0.27823,-0.27999,-0.282,-0.28427,-0.28681,-0.28962,-0.29272,-0.29611,-0.2998,-0.30381,-0.30813,-0.31278,-0.31776,-0.32308,-0.32875,-0.33477,-0.34115,-0.3479,-0.35502,-0.36252,-0.37039,-0.37865,-0.3873,-0.39634,-0.40578,-0.41561,-0.42584,-0.43646,-0.44749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
