NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.058862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.020637,-0.023589,-0.026536,-0.029476,-0.032408,-0.03533,-0.038241,-0.041139,-0.044022,-0.046891,-0.049742,-0.052575,-0.055389,-0.058183,-0.060956,-0.063707,-0.066434,-0.069138,-0.071817,-0.07447,-0.077098,-0.079698,-0.082272,-0.084818,-0.087335,-0.089824,-0.092285,-0.094716,-0.097117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.005008,-0.0079527,-0.010902,-0.013854,-0.016806,-0.019757,-0.022705,-0.025648,-0.028585,-0.031513,-0.034431,-0.037337,-0.040231,-0.04311,-0.045974,-0.04882,-0.051649,-0.054458,-0.057247,-0.060014,-0.062759,-0.065481,-0.068178,-0.070851,-0.073497,-0.076117,-0.07871,-0.081276,-0.083813,-0.086321,-0.0888,-0.09125,-0.09367,-0.09606,-0.09842,-0.10075,-0.10305,-0.10532,-0.10756,-0.10976,-0.11194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0077329,0.004837,0.0019271,-0.00099435,-0.0039251,-0.006863,-0.0098058,-0.012751,-0.015698,-0.018643,-0.021586,-0.024523,-0.027454,-0.030377,-0.03329,-0.036191,-0.03908,-0.041954,-0.044812,-0.047654,-0.050477,-0.053281,-0.056064,-0.058826,-0.061565,-0.064281,-0.066972,-0.069638,-0.072277,-0.07489,-0.077476,-0.080033,-0.082562,-0.085062,-0.087533,-0.089973,-0.092383,-0.094763,-0.097112,-0.09943,-0.10172,-0.10397,-0.1062,-0.10839,-0.11055,-0.11269,-0.11479,-0.11686,-0.1189,-0.12091,-0.12289,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014706,0.011857,0.0089884,0.0061029,0.003203,0.00029104,-0.0026306,-0.0055598,-0.0084943,-0.011432,-0.014371,-0.017309,-0.020244,-0.023174,-0.026098,-0.029015,-0.031921,-0.034816,-0.037698,-0.040566,-0.043419,-0.046254,-0.049072,-0.051869,-0.054646,-0.057402,-0.060135,-0.062844,-0.065529,-0.068188,-0.070821,-0.073426,-0.076005,-0.078555,-0.081076,-0.083568,-0.086029,-0.088461,-0.090862,-0.093232,-0.095571,-0.097878,-0.10015,-0.1024,-0.10461,-0.10679,-0.10894,-0.11106,-0.11315,-0.1152,-0.11723,-0.11922,-0.12119,-0.12312,-0.12503,-0.1269,-0.12875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.024479,0.021721,0.018934,0.016121,0.013286,0.010431,0.0075586,0.004671,0.0017708,-0.0011396,-0.0040579,-0.0069819,-0.0099096,-0.012839,-0.015767,-0.018693,-0.021615,-0.024531,-0.027439,-0.030338,-0.033225,-0.0361,-0.03896,-0.041806,-0.044634,-0.047444,-0.050235,-0.053005,-0.055754,-0.05848,-0.061182,-0.063859,-0.066512,-0.069137,-0.071736,-0.074307,-0.076849,-0.079363,-0.081846,-0.0843,-0.086723,-0.089115,-0.091476,-0.093806,-0.096104,-0.098369,-0.1006,-0.1028,-0.10497,-0.10711,-0.10922,-0.11129,-0.11333,-0.11534,-0.11732,-0.11927,-0.12119,-0.12308,-0.12493,-0.12676,-0.12857,-0.13034,-0.13209,-0.13381,-0.1355,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.031388,0.028715,0.026007,0.023267,0.020498,0.017703,0.014885,0.012046,0.0091884,0.0063156,0.0034296,0.00053281,-0.0023724,-0.0052838,-0.0081992,-0.011117,-0.014034,-0.016949,-0.019861,-0.022766,-0.025664,-0.028553,-0.031431,-0.034297,-0.037149,-0.039986,-0.042806,-0.045607,-0.04839,-0.051152,-0.053893,-0.056611,-0.059306,-0.061976,-0.06462,-0.067238,-0.069829,-0.072392,-0.074927,-0.077433,-0.079908,-0.082354,-0.084769,-0.087152,-0.089504,-0.091825,-0.094113,-0.09637,-0.098593,-0.10078,-0.10294,-0.10507,-0.10716,-0.10922,-0.11125,-0.11325,-0.11522,-0.11715,-0.11905,-0.12093,-0.12277,-0.12458,-0.12636,-0.12812,-0.12985,-0.13155,-0.13322,-0.13487,-0.1365,-0.1381,-0.13968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.035623,0.033012,0.030362,0.027677,0.024959,0.022211,0.019436,0.016637,0.013816,0.010977,0.0081213,0.005252,0.0023713,-0.00051835,-0.0034148,-0.0063158,-0.0092193,-0.012123,-0.015026,-0.017924,-0.020818,-0.023704,-0.026582,-0.029449,-0.032304,-0.035145,-0.037972,-0.040782,-0.043574,-0.046348,-0.049101,-0.051833,-0.054542,-0.057228,-0.059889,-0.062525,-0.065135,-0.067717,-0.070272,-0.072799,-0.075296,-0.077763,-0.0802,-0.082607,-0.084982,-0.087325,-0.089637,-0.091916,-0.094163,-0.096378,-0.098559,-0.10071,-0.10282,-0.10491,-0.10696,-0.10898,-0.11096,-0.11291,-0.11483,-0.11672,-0.11858,-0.12041,-0.12221,-0.12397,-0.12571,-0.12742,-0.1291,-0.13076,-0.13239,-0.13399,-0.13557,-0.13713,-0.13866,-0.14017,-0.14166,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.042375,0.03988,0.037339,0.034756,0.032133,0.029473,0.026779,0.024055,0.021303,0.018526,0.015727,0.012908,0.010073,0.0072228,0.0043607,0.001489,-0.0013901,-0.0042743,-0.0071616,-0.01005,-0.012937,-0.015821,-0.0187,-0.021573,-0.024437,-0.027291,-0.030134,-0.032963,-0.035778,-0.038577,-0.041358,-0.04412,-0.046863,-0.049584,-0.052284,-0.05496,-0.057611,-0.060238,-0.062838,-0.065412,-0.067958,-0.070475,-0.072963,-0.075422,-0.07785,-0.080248,-0.082614,-0.084949,-0.087251,-0.089522,-0.09176,-0.093965,-0.096137,-0.098276,-0.10038,-0.10246,-0.10449,-0.1065,-0.10848,-0.11042,-0.11233,-0.1142,-0.11605,-0.11786,-0.11965,-0.1214,-0.12312,-0.12482,-0.12648,-0.12812,-0.12973,-0.13132,-0.13287,-0.13441,-0.13592,-0.13741,-0.13888,-0.14032,-0.14175,-0.14316,-0.14456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.046539,0.044128,0.041666,0.039157,0.036604,0.03401,0.031378,0.028713,0.026015,0.023289,0.020537,0.017762,0.014967,0.012154,0.0093263,0.0064856,0.0036344,0.00077526,-0.0020897,-0.0049583,-0.0078284,-0.010698,-0.013565,-0.016428,-0.019285,-0.022134,-0.024973,-0.027801,-0.030617,-0.033418,-0.036203,-0.038971,-0.041721,-0.044452,-0.047162,-0.049849,-0.052514,-0.055155,-0.057771,-0.060361,-0.062924,-0.06546,-0.067967,-0.070446,-0.072895,-0.075314,-0.077702,-0.080059,-0.082384,-0.084678,-0.086939,-0.089168,-0.091363,-0.093526,-0.095656,-0.097752,-0.099816,-0.10185,-0.10384,-0.10581,-0.10774,-0.10964,-0.1115,-0.11334,-0.11514,-0.11691,-0.11865,-0.12036,-0.12204,-0.12369,-0.12531,-0.1269,-0.12847,-0.13001,-0.13153,-0.13302,-0.13449,-0.13593,-0.13736,-0.13876,-0.14015,-0.14151,-0.14287,-0.1442,-0.14553,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
