NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.40383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.30305,-0.30737,-0.31191,-0.31666,-0.32162,-0.32679,-0.33218,-0.33778,-0.34359,-0.34963,-0.35587,-0.36233,-0.36901,-0.3759,-0.38301,-0.39033,-0.39786,-0.4056,-0.41356,-0.42172,-0.43009,-0.43867,-0.44746,-0.45644,-0.46563,-0.47502,-0.48461,-0.49439,-0.50436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.26366,-0.26663,-0.2698,-0.27317,-0.27674,-0.28052,-0.2845,-0.2887,-0.2931,-0.29771,-0.30254,-0.30758,-0.31283,-0.3183,-0.32398,-0.32987,-0.33598,-0.3423,-0.34884,-0.35559,-0.36256,-0.36974,-0.37713,-0.38473,-0.39255,-0.40057,-0.4088,-0.41724,-0.42588,-0.43473,-0.44378,-0.45302,-0.46247,-0.4721,-0.48194,-0.49196,-0.50217,-0.51256,-0.52314,-0.53389,-0.54482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.23501,-0.23689,-0.23895,-0.24121,-0.24365,-0.24629,-0.24913,-0.25217,-0.25541,-0.25885,-0.26249,-0.26635,-0.27041,-0.27468,-0.27916,-0.28385,-0.28875,-0.29386,-0.29919,-0.30474,-0.31049,-0.31646,-0.32265,-0.32905,-0.33566,-0.34248,-0.34952,-0.35677,-0.36423,-0.37191,-0.37979,-0.38787,-0.39617,-0.40467,-0.41337,-0.42227,-0.43138,-0.44068,-0.45017,-0.45986,-0.46974,-0.4798,-0.49005,-0.50049,-0.5111,-0.52189,-0.53285,-0.54398,-0.55528,-0.56674,-0.57836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.21451,-0.21572,-0.2171,-0.21867,-0.22042,-0.22235,-0.22448,-0.22679,-0.22931,-0.23201,-0.23492,-0.23803,-0.24134,-0.24485,-0.24857,-0.2525,-0.25663,-0.26098,-0.26553,-0.2703,-0.27528,-0.28047,-0.28587,-0.29149,-0.29732,-0.30337,-0.30963,-0.3161,-0.32278,-0.32968,-0.33678,-0.3441,-0.35163,-0.35937,-0.36731,-0.37546,-0.38381,-0.39237,-0.40113,-0.41008,-0.41924,-0.42859,-0.43813,-0.44786,-0.45778,-0.46789,-0.47817,-0.48864,-0.49929,-0.5101,-0.52109,-0.53225,-0.54356,-0.55504,-0.56668,-0.57847,-0.5904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.19632,-0.19672,-0.19728,-0.19802,-0.19892,-0.20001,-0.20126,-0.2027,-0.20432,-0.20613,-0.20813,-0.21032,-0.2127,-0.21528,-0.21806,-0.22103,-0.22421,-0.22759,-0.23118,-0.23497,-0.23897,-0.24318,-0.2476,-0.25223,-0.25707,-0.26213,-0.26739,-0.27287,-0.27856,-0.28446,-0.29058,-0.29691,-0.30345,-0.3102,-0.31716,-0.32434,-0.33172,-0.33931,-0.34711,-0.35511,-0.36332,-0.37173,-0.38034,-0.38915,-0.39815,-0.40735,-0.41675,-0.42633,-0.4361,-0.44606,-0.4562,-0.46652,-0.47702,-0.48769,-0.49853,-0.50954,-0.52071,-0.53205,-0.54354,-0.55519,-0.56698,-0.57892,-0.59101,-0.60323,-0.61559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.18171,-0.18152,-0.18148,-0.1816,-0.18188,-0.18232,-0.18293,-0.18371,-0.18467,-0.1858,-0.18712,-0.18861,-0.19029,-0.19216,-0.19423,-0.19648,-0.19893,-0.20158,-0.20442,-0.20747,-0.21072,-0.21417,-0.21783,-0.22169,-0.22577,-0.23005,-0.23454,-0.23925,-0.24416,-0.24928,-0.25462,-0.26017,-0.26593,-0.27191,-0.27809,-0.28449,-0.29109,-0.29791,-0.30494,-0.31217,-0.31962,-0.32727,-0.33512,-0.34318,-0.35144,-0.3599,-0.36856,-0.37742,-0.38647,-0.39571,-0.40514,-0.41477,-0.42457,-0.43456,-0.44473,-0.45508,-0.4656,-0.4763,-0.48716,-0.49819,-0.50937,-0.52072,-0.53222,-0.54387,-0.55567,-0.56762,-0.5797,-0.59192,-0.60427,-0.61675,-0.62935,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.1688,-0.16819,-0.16773,-0.16741,-0.16726,-0.16725,-0.16741,-0.16773,-0.16822,-0.16888,-0.16971,-0.17072,-0.17191,-0.17328,-0.17483,-0.17658,-0.17851,-0.18064,-0.18296,-0.18547,-0.18819,-0.1911,-0.19422,-0.19754,-0.20106,-0.20479,-0.20873,-0.21288,-0.21723,-0.2218,-0.22657,-0.23155,-0.23675,-0.24216,-0.24777,-0.2536,-0.25964,-0.26589,-0.27235,-0.27903,-0.2859,-0.29299,-0.30029,-0.30779,-0.31549,-0.3234,-0.33151,-0.33982,-0.34832,-0.35703,-0.36593,-0.37502,-0.3843,-0.39377,-0.40343,-0.41327,-0.42328,-0.43348,-0.44385,-0.45439,-0.46511,-0.47598,-0.48702,-0.49822,-0.50958,-0.52108,-0.53274,-0.54453,-0.55647,-0.56855,-0.58076,-0.5931,-0.60556,-0.61815,-0.63085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.15842,-0.15728,-0.15628,-0.15541,-0.15469,-0.15411,-0.15368,-0.1534,-0.15327,-0.15331,-0.15351,-0.15388,-0.15441,-0.15512,-0.15601,-0.15707,-0.15832,-0.15975,-0.16137,-0.16317,-0.16517,-0.16736,-0.16975,-0.17233,-0.17512,-0.1781,-0.18129,-0.18468,-0.18827,-0.19207,-0.19608,-0.2003,-0.20472,-0.20935,-0.2142,-0.21925,-0.22451,-0.22999,-0.23567,-0.24157,-0.24767,-0.25398,-0.2605,-0.26723,-0.27417,-0.28132,-0.28866,-0.29622,-0.30397,-0.31193,-0.32009,-0.32844,-0.33699,-0.34574,-0.35468,-0.3638,-0.37312,-0.38262,-0.39231,-0.40217,-0.41221,-0.42243,-0.43282,-0.44338,-0.45411,-0.46499,-0.47604,-0.48725,-0.4986,-0.51011,-0.52176,-0.53356,-0.54549,-0.55756,-0.56975,-0.58208,-0.59452,-0.60709,-0.61977,-0.63256,-0.64545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.14863,-0.14713,-0.14575,-0.14449,-0.14337,-0.14239,-0.14155,-0.14085,-0.1403,-0.1399,-0.13966,-0.13958,-0.13966,-0.1399,-0.14032,-0.14091,-0.14167,-0.14261,-0.14374,-0.14504,-0.14653,-0.14821,-0.15008,-0.15215,-0.1544,-0.15686,-0.15951,-0.16236,-0.16541,-0.16867,-0.17213,-0.17579,-0.17966,-0.18374,-0.18802,-0.19251,-0.19721,-0.20212,-0.20724,-0.21257,-0.21811,-0.22386,-0.22981,-0.23598,-0.24235,-0.24893,-0.25571,-0.26271,-0.2699,-0.2773,-0.28491,-0.29271,-0.30071,-0.30891,-0.31731,-0.3259,-0.33468,-0.34365,-0.35281,-0.36215,-0.37168,-0.38139,-0.39128,-0.40134,-0.41158,-0.42198,-0.43255,-0.44329,-0.45418,-0.46524,-0.47644,-0.4878,-0.4993,-0.51095,-0.52273,-0.53465,-0.54671,-0.55889,-0.57119,-0.58362,-0.59616,-0.60881,-0.62158,-0.63444,-0.6474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
