NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.40341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.46771,-0.46287,-0.45792,-0.45286,-0.4477,-0.44244,-0.43708,-0.43164,-0.4261,-0.42048,-0.41477,-0.40898,-0.40311,-0.39717,-0.39116,-0.38508,-0.37893,-0.37272,-0.36644,-0.36011,-0.35373,-0.34728,-0.34079,-0.33425,-0.32767,-0.32104,-0.31436,-0.30765,-0.3009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.47961,-0.47558,-0.47144,-0.46717,-0.46278,-0.45828,-0.45367,-0.44894,-0.44411,-0.43918,-0.43414,-0.42901,-0.42378,-0.41846,-0.41305,-0.40756,-0.40198,-0.39632,-0.39059,-0.38478,-0.3789,-0.37295,-0.36694,-0.36086,-0.35472,-0.34853,-0.34228,-0.33598,-0.32963,-0.32323,-0.31679,-0.3103,-0.30377,-0.2972,-0.2906,-0.28396,-0.27728,-0.27058,-0.26384,-0.25707,-0.25027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.48249,-0.47923,-0.47583,-0.47231,-0.46865,-0.46487,-0.46096,-0.45693,-0.45278,-0.44851,-0.44413,-0.43963,-0.43503,-0.43032,-0.42551,-0.4206,-0.41559,-0.41049,-0.40529,-0.40001,-0.39465,-0.3892,-0.38367,-0.37807,-0.37239,-0.36664,-0.36083,-0.35495,-0.349,-0.343,-0.33694,-0.33083,-0.32467,-0.31846,-0.3122,-0.30589,-0.29955,-0.29316,-0.28674,-0.28028,-0.27379,-0.26726,-0.2607,-0.25412,-0.2475,-0.24086,-0.23419,-0.22749,-0.22077,-0.21403,-0.20726,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.47585,-0.47312,-0.47024,-0.46723,-0.46408,-0.4608,-0.45738,-0.45384,-0.45016,-0.44637,-0.44245,-0.43842,-0.43427,-0.43,-0.42563,-0.42114,-0.41655,-0.41186,-0.40708,-0.40219,-0.39721,-0.39214,-0.38699,-0.38175,-0.37643,-0.37103,-0.36555,-0.36001,-0.35439,-0.34871,-0.34296,-0.33715,-0.33128,-0.32536,-0.31939,-0.31336,-0.30729,-0.30117,-0.295,-0.2888,-0.28256,-0.27628,-0.26996,-0.26361,-0.25723,-0.25082,-0.24439,-0.23792,-0.23143,-0.22491,-0.21837,-0.21181,-0.20522,-0.19861,-0.19198,-0.18532,-0.17864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.46944,-0.46738,-0.46518,-0.46283,-0.46034,-0.45771,-0.45494,-0.45203,-0.44898,-0.44581,-0.4425,-0.43906,-0.4355,-0.43182,-0.42802,-0.4241,-0.42006,-0.41591,-0.41165,-0.40729,-0.40282,-0.39825,-0.39358,-0.38882,-0.38397,-0.37902,-0.37399,-0.36888,-0.36368,-0.35841,-0.35306,-0.34764,-0.34216,-0.3366,-0.33099,-0.32531,-0.31958,-0.31379,-0.30795,-0.30206,-0.29612,-0.29014,-0.28412,-0.27805,-0.27195,-0.26581,-0.25964,-0.25344,-0.24721,-0.24094,-0.23465,-0.22834,-0.222,-0.21563,-0.20925,-0.20284,-0.19641,-0.18995,-0.18348,-0.17699,-0.17047,-0.16394,-0.15738,-0.1508,-0.14419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.4586,-0.45709,-0.45542,-0.45361,-0.45164,-0.44954,-0.44728,-0.44489,-0.44236,-0.43969,-0.43688,-0.43394,-0.43087,-0.42767,-0.42435,-0.4209,-0.41732,-0.41363,-0.40982,-0.4059,-0.40187,-0.39773,-0.39348,-0.38913,-0.38468,-0.38013,-0.37549,-0.37075,-0.36593,-0.36102,-0.35603,-0.35096,-0.34582,-0.3406,-0.33531,-0.32995,-0.32452,-0.31904,-0.31349,-0.30789,-0.30224,-0.29653,-0.29078,-0.28497,-0.27913,-0.27324,-0.26732,-0.26136,-0.25536,-0.24933,-0.24327,-0.23718,-0.23107,-0.22492,-0.21876,-0.21257,-0.20635,-0.20012,-0.19386,-0.18759,-0.18129,-0.17498,-0.16865,-0.16229,-0.15592,-0.14953,-0.14311,-0.13668,-0.13022,-0.12374,-0.11723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.44499,-0.44386,-0.44258,-0.44115,-0.43958,-0.43785,-0.43598,-0.43397,-0.43181,-0.42952,-0.42708,-0.42451,-0.42181,-0.41897,-0.41601,-0.41291,-0.40969,-0.40635,-0.40289,-0.39931,-0.39561,-0.3918,-0.38788,-0.38385,-0.37972,-0.37549,-0.37115,-0.36672,-0.3622,-0.35759,-0.35288,-0.3481,-0.34323,-0.33829,-0.33326,-0.32817,-0.323,-0.31777,-0.31248,-0.30712,-0.30171,-0.29624,-0.29071,-0.28514,-0.27952,-0.27385,-0.26814,-0.26239,-0.2566,-0.25078,-0.24492,-0.23904,-0.23312,-0.22717,-0.2212,-0.2152,-0.20918,-0.20314,-0.19708,-0.191,-0.18489,-0.17877,-0.17263,-0.16648,-0.1603,-0.15411,-0.1479,-0.14167,-0.13543,-0.12916,-0.12287,-0.11656,-0.11023,-0.10387,-0.097486,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.43114,-0.43055,-0.4298,-0.4289,-0.42786,-0.42666,-0.42532,-0.42383,-0.42219,-0.42041,-0.41849,-0.41643,-0.41423,-0.41189,-0.40942,-0.40682,-0.40408,-0.40122,-0.39823,-0.39511,-0.39188,-0.38852,-0.38505,-0.38146,-0.37776,-0.37395,-0.37004,-0.36602,-0.3619,-0.35768,-0.35337,-0.34897,-0.34447,-0.33989,-0.33522,-0.33048,-0.32565,-0.32076,-0.31579,-0.31075,-0.30564,-0.30047,-0.29524,-0.28996,-0.28461,-0.27922,-0.27378,-0.26829,-0.26276,-0.25718,-0.25157,-0.24592,-0.24023,-0.23451,-0.22876,-0.22299,-0.21718,-0.21135,-0.2055,-0.19963,-0.19373,-0.18782,-0.18188,-0.17593,-0.16997,-0.16398,-0.15798,-0.15196,-0.14593,-0.13988,-0.13382,-0.12774,-0.12164,-0.11552,-0.10938,-0.10322,-0.097037,-0.090829,-0.084595,-0.078332,-0.072037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.41552,-0.4153,-0.41493,-0.41441,-0.41374,-0.41292,-0.41196,-0.41084,-0.40958,-0.40818,-0.40663,-0.40494,-0.40311,-0.40114,-0.39903,-0.39679,-0.39442,-0.39191,-0.38928,-0.38651,-0.38363,-0.38062,-0.37748,-0.37423,-0.37087,-0.36739,-0.3638,-0.3601,-0.3563,-0.35239,-0.34839,-0.34428,-0.34008,-0.3358,-0.33142,-0.32695,-0.32241,-0.31778,-0.31308,-0.3083,-0.30345,-0.29854,-0.29356,-0.28851,-0.28341,-0.27825,-0.27304,-0.26777,-0.26246,-0.2571,-0.2517,-0.24626,-0.24078,-0.23526,-0.22971,-0.22413,-0.21852,-0.21288,-0.20722,-0.20153,-0.19582,-0.19009,-0.18435,-0.17858,-0.17279,-0.16699,-0.16118,-0.15534,-0.1495,-0.14364,-0.13776,-0.13187,-0.12597,-0.12005,-0.11412,-0.10817,-0.1022,-0.096209,-0.0902,-0.084168,-0.078112,-0.072029,-0.065918,-0.059774,-0.053596,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
