NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.47403,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.44001,-0.43914,-0.43848,-0.43802,-0.43776,-0.43772,-0.4379,-0.43829,-0.43889,-0.43971,-0.44075,-0.44201,-0.44348,-0.44516,-0.44705,-0.44916,-0.45146,-0.45397,-0.45668,-0.45957,-0.46266,-0.46593,-0.46937,-0.47298,-0.47675,-0.48067,-0.48473,-0.48894,-0.49327,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.42321,-0.42108,-0.41913,-0.41736,-0.41579,-0.41441,-0.41323,-0.41227,-0.41151,-0.41098,-0.41066,-0.41057,-0.41069,-0.41105,-0.41163,-0.41244,-0.41348,-0.41474,-0.41623,-0.41795,-0.41988,-0.42204,-0.42441,-0.42699,-0.42978,-0.43278,-0.43597,-0.43935,-0.44292,-0.44667,-0.45059,-0.45468,-0.45892,-0.4633,-0.46783,-0.47248,-0.47725,-0.48213,-0.4871,-0.49216,-0.49729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.41115,-0.40804,-0.40507,-0.40226,-0.39961,-0.39713,-0.39484,-0.39274,-0.39083,-0.38912,-0.38762,-0.38634,-0.38528,-0.38444,-0.38382,-0.38344,-0.38329,-0.38337,-0.38369,-0.38425,-0.38504,-0.38608,-0.38735,-0.38885,-0.3906,-0.39257,-0.39477,-0.3972,-0.39985,-0.40272,-0.4058,-0.4091,-0.41259,-0.41628,-0.42016,-0.42422,-0.42846,-0.43286,-0.43742,-0.44213,-0.44698,-0.45196,-0.45705,-0.46226,-0.46755,-0.47294,-0.47839,-0.4839,-0.48945,-0.49504,-0.50064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.39674,-0.39301,-0.3894,-0.38593,-0.38261,-0.37944,-0.37644,-0.37361,-0.37096,-0.36851,-0.36626,-0.36421,-0.36238,-0.36076,-0.35937,-0.35821,-0.35728,-0.35659,-0.35614,-0.35593,-0.35597,-0.35625,-0.35678,-0.35756,-0.35859,-0.35986,-0.36138,-0.36314,-0.36515,-0.36739,-0.36987,-0.37259,-0.37553,-0.3787,-0.38208,-0.38568,-0.38948,-0.39348,-0.39768,-0.40206,-0.40662,-0.41134,-0.41623,-0.42126,-0.42643,-0.43174,-0.43716,-0.44268,-0.4483,-0.45401,-0.45978,-0.4656,-0.47147,-0.47737,-0.48328,-0.48919,-0.49509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.38908,-0.38471,-0.38042,-0.37622,-0.37213,-0.36817,-0.36433,-0.36065,-0.35711,-0.35375,-0.35056,-0.34755,-0.34474,-0.34213,-0.33973,-0.33755,-0.33559,-0.33386,-0.33236,-0.33111,-0.33009,-0.32932,-0.32881,-0.32854,-0.32853,-0.32877,-0.32928,-0.33004,-0.33105,-0.33232,-0.33385,-0.33563,-0.33767,-0.33995,-0.34248,-0.34525,-0.34826,-0.3515,-0.35497,-0.35866,-0.36257,-0.36669,-0.37101,-0.37552,-0.38022,-0.3851,-0.39015,-0.39536,-0.40072,-0.40622,-0.41184,-0.41758,-0.42343,-0.42937,-0.43539,-0.44148,-0.44762,-0.4538,-0.46,-0.46621,-0.47242,-0.47861,-0.48476,-0.49085,-0.49687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.37982,-0.37498,-0.37019,-0.36546,-0.36081,-0.35626,-0.35181,-0.34747,-0.34327,-0.33922,-0.33532,-0.33158,-0.32803,-0.32465,-0.32148,-0.3185,-0.31574,-0.3132,-0.31089,-0.3088,-0.30696,-0.30536,-0.30401,-0.30291,-0.30206,-0.30148,-0.30115,-0.30109,-0.3013,-0.30177,-0.30251,-0.30351,-0.30478,-0.30631,-0.30811,-0.31017,-0.31248,-0.31505,-0.31788,-0.32094,-0.32426,-0.3278,-0.33158,-0.33559,-0.33981,-0.34425,-0.34889,-0.35373,-0.35875,-0.36395,-0.36933,-0.37486,-0.38054,-0.38636,-0.3923,-0.39837,-0.40453,-0.41079,-0.41712,-0.42351,-0.42996,-0.43644,-0.44294,-0.44945,-0.45595,-0.46242,-0.46885,-0.47521,-0.4815,-0.4877,-0.49378,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.3674,-0.36219,-0.35701,-0.35187,-0.3468,-0.34179,-0.33687,-0.33206,-0.32736,-0.32279,-0.31837,-0.3141,-0.30999,-0.30606,-0.30231,-0.29876,-0.29542,-0.29229,-0.28938,-0.2867,-0.28425,-0.28205,-0.2801,-0.27839,-0.27695,-0.27576,-0.27484,-0.27419,-0.27381,-0.2737,-0.27387,-0.27431,-0.27502,-0.27601,-0.27727,-0.27881,-0.28062,-0.28269,-0.28504,-0.28764,-0.29051,-0.29363,-0.29701,-0.30063,-0.30449,-0.30858,-0.3129,-0.31745,-0.3222,-0.32717,-0.33232,-0.33767,-0.3432,-0.34889,-0.35474,-0.36075,-0.36688,-0.37315,-0.37952,-0.386,-0.39256,-0.3992,-0.4059,-0.41265,-0.41942,-0.42621,-0.43301,-0.43978,-0.44653,-0.45323,-0.45986,-0.4664,-0.47285,-0.47917,-0.48536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.36177,-0.35625,-0.3507,-0.34517,-0.33965,-0.33416,-0.32874,-0.32338,-0.3181,-0.31292,-0.30786,-0.30292,-0.29813,-0.29348,-0.289,-0.28469,-0.28057,-0.27664,-0.27292,-0.26942,-0.26613,-0.26308,-0.26027,-0.2577,-0.25537,-0.25331,-0.25151,-0.24997,-0.2487,-0.24771,-0.24699,-0.24655,-0.2464,-0.24652,-0.24693,-0.24761,-0.24859,-0.24984,-0.25138,-0.25319,-0.25529,-0.25765,-0.26029,-0.2632,-0.26637,-0.2698,-0.27348,-0.27742,-0.28159,-0.28601,-0.29065,-0.29551,-0.30059,-0.30587,-0.31135,-0.31702,-0.32287,-0.32888,-0.33505,-0.34137,-0.34782,-0.35439,-0.36108,-0.36786,-0.37473,-0.38167,-0.38866,-0.39569,-0.40276,-0.40983,-0.4169,-0.42394,-0.43095,-0.43791,-0.44479,-0.45158,-0.45826,-0.46482,-0.47123,-0.47747,-0.48352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.35211,-0.34632,-0.34048,-0.33462,-0.32875,-0.3229,-0.31708,-0.31131,-0.30559,-0.29996,-0.29443,-0.289,-0.28369,-0.27852,-0.27351,-0.26865,-0.26396,-0.25946,-0.25516,-0.25106,-0.24717,-0.24351,-0.24008,-0.23689,-0.23394,-0.23125,-0.22881,-0.22664,-0.22474,-0.22312,-0.22177,-0.2207,-0.21992,-0.21942,-0.21922,-0.2193,-0.21967,-0.22033,-0.22129,-0.22253,-0.22406,-0.22588,-0.22799,-0.23037,-0.23304,-0.23598,-0.2392,-0.24268,-0.24642,-0.25042,-0.25467,-0.25916,-0.26389,-0.26885,-0.27404,-0.27943,-0.28504,-0.29084,-0.29682,-0.30299,-0.30931,-0.3158,-0.32243,-0.32919,-0.33607,-0.34305,-0.35013,-0.35729,-0.36452,-0.3718,-0.37912,-0.38645,-0.3938,-0.40113,-0.40844,-0.4157,-0.4229,-0.43002,-0.43704,-0.44395,-0.45072,-0.45734,-0.46378,-0.47003,-0.47606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
